,molecule_chembl_id,standard_value,canonical_smiles,bio_class
652,CHEMBL2011798,400.0,COc1ccc(C(=O)NCc2ccc(O)cc2O)c(OC)c1,active
653,CHEMBL2011799,900.0,O=C(NCc1ccc(O)cc1O)c1ccc(O)c(C23CC4CC(CC(C4)C2)C3)c1,active
654,CHEMBL2011800,1400.0,COc1ccc(C(=O)NCc2ccc(O)cc2O)cc1C12CC3CC(CC(C3)C1)C2,intermediate
655,CHEMBL287556,32000.0,O=c1cc(CO)occ1O,inactive
656,CHEMBL537,10020.0,Oc1ccc(O)cc1,inactive
657,CHEMBL287556,65080.0,O=c1cc(CO)occ1O,inactive
658,CHEMBL2031845,2030.0,COc1ccc(C(=O)OCc2cc(=O)c(O)co2)cc1,intermediate
659,CHEMBL1928641,2800.0,O=C(OCc1cc(=O)c(O)co1)c1ccc(O)cc1,intermediate
660,CHEMBL2031846,3510.0,O=C(OCc1cc(=O)c(O)co1)c1ccc(O)cc1O,intermediate
661,CHEMBL2031847,10640.0,COc1ccc(C(=O)OCc2cc(=O)c(O)co2)c(O)c1,inactive
662,CHEMBL2031848,3230.0,COc1ccc(C(=O)OCc2cc(=O)c(O)co2)c(OC)c1,intermediate
663,CHEMBL2031849,200000.0,COc1ccc(C(=O)OCc2cc(=O)c(O)co2)cc1C12CC3CC(CC(C3)C1)C2,inactive
664,CHEMBL2031850,200000.0,O=C(OCc1cc(=O)c(O)co1)c1ccc(O)c(C23CC4CC(CC(C4)C2)C3)c1,inactive
665,CHEMBL2031851,200000.0,O=C(OCc1cc(=O)c(O)co1)c1cc(C23CC4CC(CC(C4)C2)C3)c(O)cc1O,inactive
666,CHEMBL2031852,200000.0,COc1cc(O)c(C(=O)OCc2cc(=O)c(O)co2)cc1C12CC3CC(CC(C3)C1)C2,inactive
667,CHEMBL2031853,200000.0,COc1cc(OC)c(C23CC4CC(CC(C4)C2)C3)cc1C(=O)OCc1cc(=O)c(O)co1,inactive
668,CHEMBL287556,187200.0,O=c1cc(CO)occ1O,inactive
669,CHEMBL2031845,2050.0,COc1ccc(C(=O)OCc2cc(=O)c(O)co2)cc1,intermediate
670,CHEMBL1928641,1800.0,O=C(OCc1cc(=O)c(O)co1)c1ccc(O)cc1,intermediate
671,CHEMBL2031846,3610.0,O=C(OCc1cc(=O)c(O)co1)c1ccc(O)cc1O,intermediate
672,CHEMBL2031847,20080.0,COc1ccc(C(=O)OCc2cc(=O)c(O)co2)c(O)c1,inactive
673,CHEMBL2031848,4800.0,COc1ccc(C(=O)OCc2cc(=O)c(O)co2)c(OC)c1,intermediate
674,CHEMBL2031849,200000.0,COc1ccc(C(=O)OCc2cc(=O)c(O)co2)cc1C12CC3CC(CC(C3)C1)C2,inactive
675,CHEMBL2031850,200000.0,O=C(OCc1cc(=O)c(O)co1)c1ccc(O)c(C23CC4CC(CC(C4)C2)C3)c1,inactive
676,CHEMBL2031851,200000.0,O=C(OCc1cc(=O)c(O)co1)c1cc(C23CC4CC(CC(C4)C2)C3)c(O)cc1O,inactive
677,CHEMBL2031852,200000.0,COc1cc(O)c(C(=O)OCc2cc(=O)c(O)co2)cc1C12CC3CC(CC(C3)C1)C2,inactive
678,CHEMBL2031853,200000.0,COc1cc(OC)c(C23CC4CC(CC(C4)C2)C3)cc1C(=O)OCc1cc(=O)c(O)co1,inactive
679,CHEMBL87706,13360.0,O=C1NC(=O)/C(=C/c2ccc(O)cc2)S1,inactive
680,CHEMBL233375,9870.0,COc1ccc(/C=C2\SC(=O)NC2=O)cc1O,intermediate
681,CHEMBL287556,24720.0,O=c1cc(CO)occ1O,inactive
682,CHEMBL2088592,14010.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccccc4)c3)ccc21,inactive
683,CHEMBL2088593,100000.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccccc4Cl)c3)ccc21,inactive
684,CHEMBL2088594,48130.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(Cl)c4)c3)ccc21,inactive
685,CHEMBL2088595,17520.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccc(Cl)cc4)c3)ccc21,inactive
686,CHEMBL2088596,18250.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccccc4F)c3)ccc21,inactive
687,CHEMBL2088597,35160.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(F)c4)c3)ccc21,inactive
688,CHEMBL2088598,15060.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccc(F)cc4)c3)ccc21,inactive
689,CHEMBL2088599,100000.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(Br)c4)c3)ccc21,inactive
690,CHEMBL2088600,100000.0,Cc1ccccc1C(=O)Nc1cccc(C(=O)/C=C/c2ccc3c(c2)c2ccccc2n3C)c1,inactive
691,CHEMBL2088601,35160.0,Cc1cccc(C(=O)Nc2cccc(C(=O)/C=C/c3ccc4c(c3)c3ccccc3n4C)c2)c1,inactive
692,CHEMBL2088602,15150.0,Cc1ccc(C(=O)Nc2cccc(C(=O)/C=C/c3ccc4c(c3)c3ccccc3n4C)c2)cc1,inactive
693,CHEMBL2088603,100000.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3)ccc21,inactive
694,CHEMBL2088604,65160.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccc21,inactive
695,CHEMBL2088605,46530.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccco4)c3)ccc21,inactive
696,CHEMBL2088606,62390.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccs4)c3)ccc21,inactive
697,CHEMBL2088607,85150.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)/C=C/c4ccccc4)c3)ccc21,inactive
698,CHEMBL2088608,80230.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)C4CC4)c3)ccc21,inactive
699,CHEMBL2088609,80150.0,CC(=O)Nc1cccc(C(=O)/C=C/c2ccc3c(c2)c2ccccc2n3C)c1,inactive
700,CHEMBL2088610,48150.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(N)c3)ccc21,inactive
701,CHEMBL287556,16220.0,O=c1cc(CO)occ1O,inactive
702,CHEMBL2088592,15150.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccccc4)c3)ccc21,inactive
703,CHEMBL2088593,100000.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccccc4Cl)c3)ccc21,inactive
704,CHEMBL2088594,56450.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(Cl)c4)c3)ccc21,inactive
705,CHEMBL2088595,15150.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccc(Cl)cc4)c3)ccc21,inactive
706,CHEMBL2088596,15180.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccccc4F)c3)ccc21,inactive
707,CHEMBL2088597,42000.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(F)c4)c3)ccc21,inactive
708,CHEMBL2088598,16540.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccc(F)cc4)c3)ccc21,inactive
709,CHEMBL2088599,100000.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(Br)c4)c3)ccc21,inactive
710,CHEMBL2088600,100000.0,Cc1ccccc1C(=O)Nc1cccc(C(=O)/C=C/c2ccc3c(c2)c2ccccc2n3C)c1,inactive
711,CHEMBL2088601,29300.0,Cc1cccc(C(=O)Nc2cccc(C(=O)/C=C/c3ccc4c(c3)c3ccccc3n4C)c2)c1,inactive
712,CHEMBL2088602,15180.0,Cc1ccc(C(=O)Nc2cccc(C(=O)/C=C/c3ccc4c(c3)c3ccccc3n4C)c2)cc1,inactive
713,CHEMBL2088603,100000.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3)ccc21,inactive
714,CHEMBL2088604,75020.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccc21,inactive
715,CHEMBL2088605,60280.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccco4)c3)ccc21,inactive
716,CHEMBL2088606,71920.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccs4)c3)ccc21,inactive
717,CHEMBL2088607,78160.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)/C=C/c4ccccc4)c3)ccc21,inactive
718,CHEMBL2088608,74450.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)C4CC4)c3)ccc21,inactive
719,CHEMBL2088609,77500.0,CC(=O)Nc1cccc(C(=O)/C=C/c2ccc3c(c2)c2ccccc2n3C)c1,inactive
720,CHEMBL2088610,50500.0,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(N)c3)ccc21,inactive
721,CHEMBL287556,15420.0,O=c1cc(CO)occ1O,inactive
722,CHEMBL465194,1300.0,O=C1CC(c2ccc(O)cc2O)Oc2cc(O)cc(O)c21,intermediate
723,CHEMBL465194,26500.0,O=C1CC(c2ccc(O)cc2O)Oc2cc(O)cc(O)c21,inactive
724,CHEMBL2147165,260.0,CC1(C)C=Cc2c(cc3c(c2O)C(=O)CC(c2ccc(O)cc2O)O3)O1,active
725,CHEMBL537,13480.0,Oc1ccc(O)cc1,inactive
726,CHEMBL287556,128640.0,O=c1cc(CO)occ1O,inactive
727,CHEMBL2147165,18610.0,CC1(C)C=Cc2c(cc3c(c2O)C(=O)CC(c2ccc(O)cc2O)O3)O1,inactive
728,CHEMBL537,1090560.0,Oc1ccc(O)cc1,inactive
729,CHEMBL287556,18570.0,O=c1cc(CO)occ1O,inactive
730,CHEMBL2147166,51870.0,CCCCC/C=C\C/C=C\CCCc1cc(O)cc(O)c1,inactive
731,CHEMBL232202,5300000.0,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,inactive
732,CHEMBL196,140000.0,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,inactive
733,CHEMBL2147166,1700.0,CCCCC/C=C\C/C=C\CCCc1cc(O)cc(O)c1,intermediate
734,CHEMBL1689285,210000.0,O=S([O-])O.[Na+],inactive
735,CHEMBL232202,146000.0,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,inactive
736,CHEMBL287556,9960.0,O=c1cc(CO)occ1O,intermediate
737,CHEMBL2206925,30560.0,Oc1ccc(CCc2ccccc2)c(O)c1,inactive
738,CHEMBL2206924,33810.0,Oc1ccc(CCc2ccccc2Cl)c(O)c1,inactive
739,CHEMBL2206923,49580.0,Oc1ccc(CCc2ccc(F)cc2)c(O)c1,inactive
740,CHEMBL2206926,8440.0,Oc1ccc(CCc2ccc(O)cc2O)cc1,intermediate
741,CHEMBL2206927,31640.0,COc1ccc(CCc2ccc(O)cc2O)cc1,inactive
742,CHEMBL165,26630.0,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,inactive
743,CHEMBL2208146,36280.0,Oc1ccc(/N=N/c2cc(O)cc(O)c2)cc1,inactive
744,CHEMBL2208145,50200.0,COc1cc(/N=N/c2ccc(O)cc2)cc(OC)c1,inactive
745,CHEMBL2228308,24000.0,[C-]#N.[K+],inactive
747,CHEMBL1467,1000000.0,O=c1ncnc2[nH][nH]cc1-2,inactive
748,CHEMBL287556,93000.0,O=c1cc(CO)occ1O,inactive
749,CHEMBL2228307,520000.0,O=C(O)c1ccc(Cl)cc1O,inactive
750,CHEMBL541,270000.0,O=C(O)c1ccccc1,inactive
751,CHEMBL2228306,1000000.0,O=C(O)C1CCOC1,inactive
752,CHEMBL2228305,1000000.0,O=C(O)c1cnc(Cl)s1,inactive
753,CHEMBL2228304,42000.0,O=C(O)c1ccc(S)nc1,inactive
754,CHEMBL1521174,80000.0,O=C(O)c1cccnc1S,inactive
755,CHEMBL1723657,1000000.0,O=C(O)c1ccc(Cl)nc1,inactive
756,CHEMBL573,1000000.0,O=C(O)c1cccnc1,inactive
757,CHEMBL14193,770000.0,O=Cc1ccc(O)cc1,inactive
758,CHEMBL108925,1000000.0,O=Cc1ccccc1O,inactive
759,CHEMBL15972,177000.0,O=Cc1ccccc1,inactive
760,CHEMBL2228161,1000000.0,O=CC1CCOC1,inactive
761,CHEMBL2228160,15000.0,O=Cc1ccoc1,inactive
762,CHEMBL189362,43000.0,O=Cc1ccco1,inactive
763,CHEMBL2228159,64000.0,O=Cc1cnc(Cl)s1,inactive
764,CHEMBL2228158,7000.0,O=Cc1cncs1,intermediate
765,CHEMBL2228157,770000.0,O=Cc1ccc(Cl)nc1,inactive
766,CHEMBL2228156,1000000.0,O=Cc1cccnc1Cl,inactive
767,CHEMBL268493,28000.0,O=Cc1cccnc1,inactive
768,CHEMBL2228155,1000000.0,CN/C(=N/CC1CCOC1)N[N+](=O)[O-],inactive
769,CHEMBL259727,1000000.0,CN/C(=N\[N+](=O)[O-])NCc1cnc(Cl)s1,inactive
770,CHEMBL1896251,1000000.0,CN1COCN(Cc2cnc(Cl)s2)/C1=N\[N+](=O)[O-],inactive
771,CHEMBL265941,1740000.0,C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,inactive
772,CHEMBL451432,1000000.0,N#C/N=C1\SCCN1Cc1ccc(Cl)nc1,inactive
773,CHEMBL259728,1000000.0,CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,inactive
774,CHEMBL406819,1000000.0,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,inactive
775,CHEMBL129353,81000.0,CCCCCCCCCOC(=O)c1ccc(O)c(O)c1,inactive
776,CHEMBL117448,129000.0,CCCCCCCCOC(=O)c1ccc(O)c(O)c1,inactive
777,CHEMBL128785,316000.0,CCCCCCCOC(=O)c1ccc(O)c(O)c1,inactive
778,CHEMBL128153,910000.0,CCCCCCOC(=O)c1ccc(O)c(O)c1,inactive
779,CHEMBL2297204,9450.0,CCCCCCCCCCCCCCC(=O)OCC(O)CO,intermediate
780,CHEMBL2297205,22340.0,CCCCCCCCCCCCCCC(=O)OCCC,inactive
781,CHEMBL2332235,4200.0,O=C(NC(Cc1ccccc1)C(=O)NO)OCc1cc(=O)c(O)co1,intermediate
782,CHEMBL1825209,4900.0,O=C(/C=C/c1ccc(O)c(O)c1)NC(Cc1ccccc1)C(=O)NO,intermediate
783,CHEMBL463145,200000.0,O=c1cc(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,inactive
784,CHEMBL236896,2000.0,COc1ccc(-c2nc(-c3ccc(O)cc3O)cs2)c(OC)c1,intermediate
785,CHEMBL394855,5000.0,O=C(/C=C/c1ccc(O)cc1O)c1ccc(O)cc1O,intermediate
786,CHEMBL1668051,4690.0,O=C(OCc1ccc(O)cc1)c1ccc(O)cc1O,intermediate
787,CHEMBL2332895,2000.0,COc1cc(OC)cc(-c2nc(-c3ccc(O)cc3O)cs2)c1,intermediate
788,CHEMBL465194,26500.0,O=C1CC(c2ccc(O)cc2O)Oc2cc(O)cc(O)c21,inactive
789,CHEMBL244249,1000.0,O=C(/C=C/c1ccc(O)cc1O)c1c(O)cc(O)cc1O,active
790,CHEMBL287556,18300.0,O=c1cc(CO)occ1O,inactive
791,CHEMBL590120,11800.0,Oc1ccc(C2CC(c3ccccc3O)=NN2)cc1,inactive
792,CHEMBL2332894,2430.0,COc1cc(C2CC(c3ccc(O)cc3O)=NN2)ccc1O,intermediate
793,CHEMBL2332893,837.0,Oc1cccc(C2CC(c3ccc(O)cc3O)=NN2)c1,active
794,CHEMBL2332892,882.0,Oc1ccc(C2CC(c3ccc(O)cc3O)=NN2)cc1,active
795,CHEMBL2332891,200000.0,CC(=O)N1N=C(c2cc(O)cc(O)c2)CC1c1cccc(O)c1,inactive
796,CHEMBL2332910,161000.0,CC(=O)N1N=C(c2cc(O)cc(O)c2)CC1c1ccc(O)cc1,inactive
797,CHEMBL2332909,200000.0,COc1cc(O)ccc1C1CC(c2ccccc2O)=NN1C(C)=O,inactive
798,CHEMBL2332908,13400.0,COc1cc(C2CC(c3ccccc3O)=NN2C(C)=O)ccc1O,inactive
799,CHEMBL2332907,200000.0,CC(=O)N1N=C(c2ccccc2O)CC1c1cccc(O)c1,inactive
800,CHEMBL2332906,13100.0,CC(=O)N1N=C(c2ccccc2O)CC1c1ccc(O)cc1,inactive
801,CHEMBL2332905,200000.0,CC(=O)N1N=C(c2ccccc2O)CC1c1ccc(O)c(O)c1,inactive
802,CHEMBL2332904,200000.0,COc1cc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)ccc1O,inactive
803,CHEMBL2332903,147000.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(O)c1,inactive
804,CHEMBL2332902,3510.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(O)cc1,intermediate
805,CHEMBL2332901,1070.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(O)c(O)c1,intermediate
806,CHEMBL2332900,200000.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(O)c([N+](=O)[O-])c1,inactive
807,CHEMBL2332899,301.0,COc1cc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)ccc1O,active
808,CHEMBL2332898,863.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1cccc(O)c1,active
809,CHEMBL2332897,1690.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(O)cc1,intermediate
810,CHEMBL2332896,2740.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(O)c(O)c1,intermediate
811,CHEMBL245416,3680.0,N[C@@H](Cn1ccc(=O)c(O)c1)C(=O)O,intermediate
812,CHEMBL287556,16670.0,O=c1cc(CO)occ1O,inactive
813,CHEMBL2348688,3040.0,CC(=O)Oc1ccc2ccccc2c1/N=N/c1ccc(C2=N/C(=C/c3ccc(OC(F)(F)F)cc3)C(=O)O2)cc1,intermediate
814,CHEMBL2348687,3910.0,CC(=O)Oc1ccc2ccccc2c1/N=N/c1ccc(C2=N/C(=C/c3ccc(F)cc3)C(=O)O2)cc1,intermediate
815,CHEMBL2348686,3980.0,CC(=O)Oc1c(/N=N/c2ccc(C3=N/C(=C/c4ccc(OC(F)(F)F)cc4)C(=O)O3)cc2)ccc2ccccc12,intermediate
816,CHEMBL2348685,4330.0,CC(=O)Oc1c(/N=N/c2ccc(C3=N/C(=C/c4ccc(F)cc4)C(=O)O3)cc2)ccc2ccccc12,intermediate
817,CHEMBL2348690,1440.0,CN(C)c1ccc(/N=N/c2ccc(C3=N/C(=C/c4ccc(OC(F)(F)F)cc4)C(=O)O3)cc2)cc1,intermediate
818,CHEMBL2348689,2010.0,CN(C)c1ccc(/N=N/c2ccc(C3=N/C(=C/c4ccc(F)cc4)C(=O)O3)cc2)cc1,intermediate
819,CHEMBL287556,22500.0,O=c1cc(CO)occ1O,inactive
820,CHEMBL2380491,81680.0,COc1ccc(NC2=NC(=O)/C(=C/c3cn(-c4ccccc4)nc3-c3ccc(Cl)cc3Cl)S2)c(OC)c1,inactive
821,CHEMBL2380490,34120.0,COc1ccc(NC2=NC(=O)/C(=C/c3cn(-c4ccccc4)nc3-c3ccccc3Cl)S2)c(OC)c1,inactive
822,CHEMBL2380380,52620.0,COc1ccc(NC2=NC(=O)/C(=C/c3cn(-c4ccccc4)nc3-c3cccc(Cl)c3)S2)c(OC)c1,inactive
823,CHEMBL2380379,104320.0,COc1ccc(NC2=NC(=O)/C(=C/c3cn(-c4ccccc4)nc3-c3ccc(F)cc3)S2)c(OC)c1,inactive
824,CHEMBL2380378,131080.0,COc1ccc(NC2=NC(=O)/C(=C/c3cn(-c4ccccc4)nc3-c3ccc(Br)cc3)S2)c(OC)c1,inactive
